"cycle","district_final","general_sharetotal_A_all","general_sharetotal_B_all","general_sharetotal_H_all","cand_A_all","cand_B_all","cand_H_all","dfe"
1996,"AZ1",0.0562627470286237,0.00879105422322245,0.0527463253393347,0,0,0,13
1998,"AZ1",0,0,0,0,0,0,13
2000,"AZ1",0,0.0410958904109589,0.0136986301369863,0,0,1,13
2002,"AZ1",0.0166254555202483,0.0115321581846555,0.0356626552163215,0,0,1,13
2004,"AZ1",0.0198661635481914,0.0236256520453503,0.0236794673940455,0,0,0,13
2006,"AZ1",0.00738793670467409,0.0176812417763548,0.0171831786277251,0,0,0,13
2008,"AZ1",0.0126995226294623,0.0118540806509599,0.0266742312103092,0,0,0,13
2010,"AZ1",0.0114046053203643,0.0107231326159346,0.0208205733583784,0,0,0,13
2012,"AZ1",0.0188367435976382,0.0220034083623856,0.0218056456915503,0,0,0,13
1980,"AZ2",0.0111731843575419,0.0346368715083799,0.00558659217877095,0,0,0,14
1982,"AZ2",0,0.0202429149797571,0.0809716599190283,0,0,1,14
1984,"AZ2",0,0,0.279329608938547,0,0,0,14
1986,"AZ2",0,0,0,0,0,0,14
1988,"AZ2",0,0,0,0,0,0,14
1990,"AZ2",0,0,0,0,0,0,14
1992,"AZ2",0.0219258833255455,0,0.277074871499946,0,0,1,14
1994,"AZ2",0.0266990291262136,0,0.145631067961165,0,0,1,14
1996,"AZ2",0.0170934327031554,0.0113956218021036,0.236812416669516,0,0,1,14
1998,"AZ2",0.00937939659215257,0,0.374706893856495,0,0,1,14
2000,"AZ2",0.0181650504429478,0.0209596735880167,0.214487326384037,0,0,1,14
2002,"AZ2",0.0119617224880383,0.000469087156393658,0.0194671169903368,0,0,1,14
2004,"AZ2",0,0.00168067226890756,0.0336134453781513,0,0,1,14
2006,"AZ2",0.0171722422307207,0.00464114654884343,0.00928229309768685,0,0,0,14
2008,"AZ2",0.0254841997961264,0.0109217999126256,0.0242706664725013,0,0,0,14
2010,"AZ2",0.0152210645852003,0.0143864713809781,0.00444660313724954,0,0,0,14
2012,"AZ2",0.00681638383438097,0.0144827602344892,0.0211170028047857,0,0,0,14
1980,"AZ3",0,0,0,0,0,0,15
1982,"AZ3",0,0,0,0,0,0,15
1984,"AZ3",NA,NA,NA,0,0,0,15
1988,"AZ3",0,0,0,0,0,0,15
1990,"AZ3",0,0,0,0,0,0,15
1992,"AZ3",0,0,0,0,0,0,15
1994,"AZ3",0,0.205128205128205,0,0,0,0,15
1996,"AZ3",0,0.0681942171303873,0,0,0,0,15
1998,"AZ3",0,0.0251046025104603,0.0292887029288703,0,0,0,15
2000,"AZ3",0.0313253012048193,0.036144578313253,0.0120481927710843,0,0,0,15
2002,"AZ3",0,0.0714079630698211,0,0,0,0,15
2004,"AZ3",0.0085693140653605,0.023643516534881,0.0093483426167569,0,0,0,15
2006,"AZ3",0.0110392074378942,0.0110392074378942,0.0147189432505255,0,0,0,15
2008,"AZ3",0.00374915426444204,0.0119839038095558,0.0247042486353413,0,0,0,15
2010,"AZ3",0.0104691833187474,0.0144701450966126,0.0167833678311817,0,0,0,15
2012,"AZ3",0.0127280792656552,0.00917443808001382,0.0780460636177672,0,0,1,15
1980,"AZ4",0,0.115606936416185,0.0144508670520231,0,0,0,16
1982,"AZ4",0,0,0,0,0,0,16
1984,"AZ4",0,0,0,0,0,0,16
1986,"AZ4",0.0121202571918576,0.0121202571918576,0.00606012859592881,0,0,0,16
1988,"AZ4",0.0634920634920635,0,0,0,0,0,16
1990,"AZ4",0,0,0.0186915887850467,0,0,0,16
1992,"AZ4",0,0.0497760079641613,0.0866102538576406,0,0,0,16
1994,"AZ4",0,0.0055347694215059,0.0110695388430118,0,0,0,16
1996,"AZ4",0.00184883892915249,0.0343884040822364,0.0188581570773554,0,0,1,16
1998,"AZ4",0,0.0167616493462957,0.0167616493462957,0,0,0,16
2000,"AZ4",0.00802890405459655,0.0120433560818948,0.0120433560818948,0,0,0,16
2002,"AZ4",0.00763650248186331,0.0305460099274532,0.232913325696831,0,0,1,16
2004,"AZ4",0.00874169684494677,0.00932447663460989,0.271455912126132,0,0,1,16
2006,"AZ4",0.00751229888532509,0.00417349938073616,0.126457031236306,0,0,1,16
2008,"AZ4",0.00510899182561308,0.0149863760217984,0.187897411444142,0,0,1,16
2010,"AZ4",0.00801902433332839,0.0250594510416512,0.11336895651243,0,0,1,16
2012,"AZ4",0.00266844919072607,0.0133422459536304,0,0,0,0,16
1982,"AZ5",0,0.0349970729720787,0,0,0,0,17
1984,"AZ5",0.0454555416748855,0.0328752712209876,0.0219168474806584,0,0,0,17
1986,"AZ5",0,0.0151437138443832,0.0181724566132598,0,0,0,17
1988,"AZ5",0,0,0,0,0,0,17
1990,"AZ5",0,0,0,0,0,0,17
1992,"AZ5",0,0,0.0122846769129972,0,0,0,17
1994,"AZ5",0,0,0.0334192685954359,0,0,0,17
1996,"AZ5",0,0,0,0,0,0,17
1998,"AZ5",0.00714370171842977,0.00270967996216301,0.0293138104997635,0,0,0,17
2000,"AZ5",0.00945397290319475,0.00154701374779551,0.0302527132902232,0,0,0,17
2002,"AZ5",0.00429247186284694,0.0236085952456582,0.0137359099611102,0,0,0,17
2004,"AZ5",0.0622440036487864,0.00286179327120857,0,0,0,0,17
2006,"AZ5",0.0161494685686096,0.0130937357904315,0.0336285279996892,0,0,0,17
2008,"AZ5",0.00719458656055804,0.0143891731211161,0.0313035984787194,0,0,0,17
2010,"AZ5",0.0146136337613507,0.0215835703724877,0.0163030592716827,0,0,0,17
2012,"AZ5",0.00306817892433124,0.0102272630811041,0.0357954207838645,0,0,0,17
1992,"AZ6",0.013550135501355,0.00677506775067751,0.0355691056910569,0,0,0,18
1994,"AZ6",0,0.0104457188221407,0.0224582954676026,0,0,0,18
1996,"AZ6",0.00570632562979373,0.0211469714515885,0.0110769850460702,0,0,0,18
1998,"AZ6",0.0172318720705817,0.0202474496829336,0.00883133443617315,0,0,0,18
2000,"AZ6",0,0.0401782453064504,0.0131492439184747,0,0,0,18
2002,"AZ6",0,0,0,0,1,0,18
2004,"AZ6",0,0.0251193167545843,0,0,0,0,18
2006,"AZ6",0,0,0,0,0,0,18
2008,"AZ6",0,0.00863557858376511,0.00143926309729419,0,0,0,18
2010,"AZ6",0,0,0,0,0,0,18
2012,"AZ6",0.00506286389334233,0.0843810648890389,0.045565775040081,0,0,0,18
2002,"AZ7",0.0119243551927861,0.00458629045876388,0.125169039200584,0,0,1,19
2004,"AZ7",0,0,0.0931001808518904,0,0,1,19
2006,"AZ7",0.0298887433373508,0.00298887433373508,0.0648585730420512,0,0,1,19
2008,"AZ7",0,0.00105368815087634,0.15716822995353,0,0,1,19
2010,"AZ7",0.0152315263279888,0.0153296771759658,0.0711957949277627,0,0,1,19
2012,"AZ7",0.0090266557143244,0.0045133278571622,0.111479198071906,0,0,1,19
2002,"AZ8",0.00675255192442328,0.0141803590412889,0.0236339317354815,0,0,0,20
2004,"AZ8",0.00706069309018608,0.000235356436339536,0.0105125874898326,0,0,0,20
2006,"AZ8",0.00930349168378668,0.0101599899289357,0.0210661541708552,0,0,0,20
2008,"AZ8",0.0140543786396574,0.00588276134488518,0.0265087265042412,0,0,0,20
2010,"AZ8",0.0153523945000404,0.021339563166148,0.0183098127288326,0,0,0,20
2012,"AZ8",0,0.00320410124959949,0,0,0,0,20
2012,"AZ9",0.0133724115841945,0.0108270033374421,0.0305363983610723,0,1,0,21
1980,"CA1",0.0212044105173876,0.0212044105173876,0.0636132315521628,0,0,0,22
1982,"CA1",0,0,0.00742180120368121,0,0,0,22
1984,"CA1",0,0,0,0,0,0,22
1986,"CA1",0,0,0,0,0,0,22
1988,"CA1",0,0.0574712643678161,0,0,0,0,22
1990,"CA1",0.0264343964366434,0.00660859910916084,0.00277561162584755,0,0,0,22
1992,"CA1",0.00273458650317485,0.00519571435603222,0.00259785717801611,0,0,0,22
1994,"CA1",0.00832691653385384,0.0150421718030908,0.00519313074154326,0,0,0,22
1996,"CA1",0.00551375677002216,0.00745791378141726,0.00977390410100267,0,0,0,22
1998,"CA1",0,0.0114527858901678,0.0516806963293821,0,0,0,22
2000,"CA1",0.0040321279958711,0,0.0295151769297765,0,0,0,22
2002,"CA1",0.00596733729360993,0.00512696042064084,0.00673522720891167,0,0,0,22
2004,"CA1",0.0117938504508602,0.0014493210999521,0.0141852302657812,0,0,0,22
2006,"CA1",0.0042836385568593,0,0.0321379982728369,0,0,0,22
2008,"CA1",0.00268235150327142,0.00746393461779873,0.0357102621870308,0,0,0,22
2010,"CA1",0.021984501463815,0.00981242360765389,0.0290354287133149,0,0,0,22
2012,"CA1",0.00496006398434149,0.000967817362798339,0.0130655343977776,0,0,0,22
1980,"CA10",0,0,0,0,0,0,23
1982,"CA10",0.0484287011807448,0.0544959128065395,0,0,0,0,23
1984,"CA10",0.0806451612903226,0,0,0,0,0,23
1986,"CA10",0.303030303030303,0,0,1,0,0,23
1988,"CA10",NA,NA,NA,0,0,0,23
1990,"CA10",0,0,0,0,1,0,23
1992,"CA10",0.0337904429363895,0.018708641905781,0.0211190268352434,0,1,0,23
1994,"CA10",0.0272625005739474,0.0220395794113596,0.0206621056981496,0,0,0,23
1996,"CA10",0.0154776276844755,0.0147632756374997,0.0105366926928929,0,0,0,23
1998,"CA10",0.0159557805304346,0.0277689134552609,0.0168340803761465,0,0,0,23
2000,"CA10",0.0176625470242554,0.0254316398734123,0.00655517209147621,0,0,0,23
2002,"CA10",0,0.0207445287062637,0.019306039489406,0,0,0,23
2004,"CA10",0.0239574791707687,0.00770061830488993,0.00162568608658787,0,0,0,23
2006,"CA10",0.0400087803052994,0.0713670135175611,0.003784614353204,0,0,0,23
2008,"CA10",0.00658392689628946,0.00175571383901052,0,0,0,0,23
2010,"CA10",0.0285895409153356,0.0110693816628135,0.0343532534363178,0,0,0,23
2012,"CA10",0.0298106425305098,0.0120720229254002,0.201684993840002,0,0,1,23
1980,"CA11",0.00319507192106894,0.00958521576320683,0.0178924027579861,0,0,0,24
1982,"CA11",0.0206756337656072,0.0287161580077878,0,0,0,0,24
1984,"CA11",0.0126582278481013,0,0,0,0,0,24
1986,"CA11",0.298701298701299,0,0,0,0,0,24
1988,"CA11",0.0573210437015637,0.0114642087403127,0,0,0,0,24
1990,"CA11",0.053475935828877,0.053475935828877,0,0,0,0,24
1992,"CA11",0.0476106535046954,0.0114446118179973,0.032456224693653,0,0,1,24
1994,"CA11",0.0211457619663867,0.0300269819922691,0.0624730391534929,0,0,0,24
1996,"CA11",0.0432051192227749,0.0225367243513394,0.0667927789065602,0,0,1,24
1998,"CA11",0.023976023976024,0.024975024975025,0.0524475524475524,0,0,1,24
2000,"CA11",0.0233263354327035,0.0116631677163518,0.0431537205505015,1,0,0,24
2002,"CA11",0.0375053929323171,0.0369334152623253,0.0434997189138307,0,0,0,24
2004,"CA11",0.0348242905889478,0.0138115426089782,0.0464200776991595,0,0,0,24
2006,"CA11",0.0266048852938063,0.0328993895610077,0.0229206295081216,0,0,0,24
2008,"CA11",0.0324770193245777,0.0282882723127107,0.0237729355360513,0,0,0,24
2010,"CA11",0.0285839917926409,0.0241656773584712,0.0120034761767861,0,0,0,24
2012,"CA11",0.0351117529068909,0.0167198823366147,0.0181132058646659,0,0,0,24
1980,"CA12",0,0,0,0,0,0,25
1982,"CA12",0,0,0,0,0,0,25
1984,"CA12",0.0232254318478734,0.00580635796196836,0,0,0,0,25
1986,"CA12",0.0358731525326446,0,0.0119577175108815,0,0,0,25
1988,"CA12",0.00346631864827438,0.00779921695861736,0.00606605763448017,0,0,0,25
1990,"CA12",0.0148310903597913,0.00457749702462693,0.0109859928591046,0,0,0,25
1992,"CA12",0.0530973451327434,0,0,0,0,0,25
1994,"CA12",0.0905661631520348,0.00830882230752613,0.0166176446150523,0,0,0,25
1996,"CA12",0.051150895140665,0.051150895140665,0,0,0,0,25
1998,"CA12",0.0905888273779567,0.0251635631605435,0.0201308505284348,0,0,0,25
2000,"CA12",0.00265505522514868,0.0398258283772302,0.00796516567544605,0,0,1,25
2002,"CA12",0.0105485232067511,0.0210970464135021,0.0738396624472574,0,0,0,25
2004,"CA12",0.139566488199629,0.0096252750482503,0.0151598082009942,0,0,1,25
2006,"CA12",0.171126096729751,0.00271916467261257,0.00543832934522515,0,0,0,25
2008,"CA12",0.0781928159058655,0.0316904804552406,0.00551138790525924,0,0,0,25
2010,"CA12",0.0659578853220113,0.00613667437523882,0.0159098965283969,0,0,0,25
2012,"CA12",0.0388852800714122,0.0176993295523543,0.00641322381050104,0,0,0,25
1980,"CA13",0.5,0,0,0,0,0,26
1982,"CA13",0.22475950732716,0,0,0,0,0,26
1984,"CA13",0.145038167938931,0.0763358778625954,0.0381679389312977,0,1,0,26
1986,"CA13",0.262951432129514,0,0.0311332503113325,0,0,0,26
1988,"CA13",0.231548480463097,0.0144717800289436,0,0,0,0,26
1990,"CA13",0.165116941997312,0.0135742306804762,0.0135742306804762,0,0,0,26
1992,"CA13",0,0.0448430493273543,0,0,0,0,26
1994,"CA13",0.0343822202662559,0.0687644405325118,0,0,0,0,26
1996,"CA13",0.0938086303939962,0.0938086303939962,0.0375234521575985,0,0,0,26
1998,"CA13",0,0.133333333333333,0,0,0,0,26
2000,"CA13",0.0767684249510608,0.0529072535844664,0,0,0,0,26
2002,"CA13",0.128168612930789,0.0284819139846198,0.0142409569923099,1,0,0,26
2004,"CA13",0.121228939772502,0.0720171919440609,0,0,0,0,26
2006,"CA13",0.00929368029739777,0,0.0371747211895911,0,0,0,26
2008,"CA13",0.0387596899224806,0,0,0,0,0,26
2010,"CA13",0.0716638849135339,0.143979194540932,0,0,0,0,26
2012,"CA13",0.0996871759914535,0.249373242105442,0.0067601627443597,0,1,0,26
1980,"CA14",0.093014603292717,0,0,0,0,0,27
1982,"CA14",0,0,0,0,0,0,27
1984,"CA14",0,0,0,0,0,0,27
1986,"CA14",0.0549450549450549,0.164835164835165,0,0,0,0,27
1988,"CA14",0,0.0402252614641995,0,0,0,0,27
1990,"CA14",0.0333649132924167,0.021007537998929,0.0140050253326194,0,0,0,27
1992,"CA14",0.00575110845768964,0.00136931153754515,0.00260169192133579,0,0,0,27
1994,"CA14",0.0133766078330599,0.0132005998352565,0,0,0,0,27
1996,"CA14",0.0923194061102122,0,0.00158624409124076,0,0,0,27
1998,"CA14",0.120012571248982,0.0214282653104956,0.0214282653104956,0,0,0,27
